,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,gu,주소,위도,경도,cnt
43,더그랜드코리아,부산 북구 만덕3로 32-1,휴양관광지,수족관,Buk-gu,부산 북구 만덕3로 32-1,35.21179,129.02711,65
44,희망마을시랑골문화센터,부산 북구 시랑로185번길 47-0,문화시설,문화생활시설기타,Buk-gu,부산 북구 시랑로185번길 47-0,35.1959609,129.0156785,65
45,성불사,부산 북구 모분재로 34-0,역사관광지,절,Buk-gu,부산 북구 모분재로 34-0,35.204611,129.0063894,65
46,대천친환경문화센터,부산 북구 양달로 64-0,문화시설,문화생활시설기타,Buk-gu,부산 북구 양달로 64,35.2430232,129.0178376,65
47,성원사,부산 북구 덕천로 132-12,역사관광지,절,Buk-gu,부산 북구 덕천로 132-12,35.2090457,129.0414034,65
48,마하사,부산 북구 구남로14번길 53-0,역사관광지,절,Buk-gu,부산 북구 구남로14번길 53,35.2000456,128.9960589,65
49,화방사,부산 북구 효열로 75-16,역사관광지,절,Buk-gu,부산 북구 효열로 75-16,35.2600186,129.0162134,65
50,진여원,부산 북구 낙동대로 1678-0,역사관광지,절,Buk-gu,부산 북구 낙동대로 1678,35.2080822,128.9983126,65
51,법정사,부산 북구 덕천로386번길 47-17,역사관광지,절,Buk-gu,부산 북구 덕천로386번길 47-17,35.2081877,129.0448091,65
52,북부산새마을금고다목적홀,부산 북구 만덕대로90번길 8-0,문화시설,문화생활시설기타,Buk-gu,부산 북구 만덕대로90번길 8-0,35.2102516,129.0155133,65
53,여래원,부산 북구 산성로65번길 6-8,역사관광지,절,Buk-gu,부산 북구 산성로65번길 6-8,35.2420131,129.0197212,65
54,불타사,부산 북구 낙동대로1766번길 43-0,역사관광지,절,Buk-gu,부산 북구 낙동대로1766번길 43-0,35.2077802,129.0021122,65
55,해인사부산포교당,부산 북구 백양대로 1014-0,역사관광지,절,Buk-gu,부산 북구 백양대로 1014,35.2035711,128.999641,65
56,비로사,부산 북구 구만덕로59번가길 21-0,역사관광지,절,Buk-gu,부산 북구,35.1969,128.9901999,65
57,다보사여래선원,부산 북구 시랑로83번길 40-8,역사관광지,절,Buk-gu,부산 북구 시랑로83번길 40-8,35.1970938,129.0090948,65
58,금용사,부산 북구 모분재로15번길 105-0,역사관광지,절,Buk-gu,부산 북구 모분재로15번길 105-0,35.2069872,129.0099353,65
59,보광사,부산 북구 시랑로21번길 183-0,역사관광지,절,Buk-gu,부산 북구 시랑로21번길 183,35.2041208,129.0078731,65
60,금등사,부산 북구 만덕대로 325-13,역사관광지,절,Buk-gu,부산 북구 만덕대로 325-13,35.2130268,129.0365374,65
61,행복선원부산포교원,부산 북구 만덕대로102번가길 17-0,역사관광지,절,Buk-gu,부산 북구 만덕대로102번가길 17-0,35.212492,129.0175798,65
62,쇼미더VR부산덕천점,부산 북구 덕천1길 37-0,휴양관광지,놀이시설,Buk-gu,부산 북구 덕천1길 37-0,35.2102311,129.0084038,65
63,덕화사,부산 북구 금곡대로 32-8,역사관광지,절,Buk-gu,부산 북구 금곡대로 32-8,35.2697243,129.0189206,65
64,장금선원,부산 북구 낙동북로 684-0,역사관광지,절,Buk-gu,부산 북구 낙동북로 684,35.1981484,129.0006638,65
65,부산진문화원,부산 부산진구 시민공원로19번길 28-0,문화시설,문화원,Busanjin-gu,부산 부산진구 시민공원로19번길 28-0,35.1641177,129.0517098,127
66,불광사,부산 부산진구 초읍천로77번가길 72-0,역사관광지,절,Busanjin-gu,부산 부산진구 초읍천로77번가길 72-0,35.1794872,129.0452558,127
67,서면젊음의거리,부산 부산진구,휴양관광지,놀거리기타,Busanjin-gu,부산 부산진구,35.1632335,129.0529462,127
68,원각사,부산 부산진구 양정로 63-0,역사관광지,절,Busanjin-gu,부산 부산진구 양정로 63-0,35.1705632,129.0770189,127
69,정정심인당,부산 부산진구 서전로 29-0,역사관광지,절,Busanjin-gu,부산 부산진구 서전로 29-0,35.1577298,129.0598728,127
70,보현정사,부산 부산진구 진사로 84-0,역사관광지,절,Busanjin-gu,부산 부산진구 진사로 84,35.1442974,129.0153077,127
71,천안사,부산 부산진구 백양산로54번길 72-0,역사관광지,절,Busanjin-gu,부산 부산진구 백양산로54번길 72-0,35.1752833,129.0323297,127
72,보각사,부산 부산진구 안창로10번길 36-10,역사관광지,절,Busanjin-gu,부산 부산진구 안창로10번길 36-10,35.1461854,129.0453771,127
73,광명사,부산 부산진구 안창로14번길 46-0,역사관광지,절,Busanjin-gu,부산 부산진구 안창로14번길 46-0,35.1459922,129.0453135,127
74,소민아트센터,부산 부산진구 서면문화로 14-0,문화시설,화랑/전시관,Busanjin-gu,부산 부산진구 서면문화로 14-0,35.1597884,129.0560354,127
75,신흥사,부산 부산진구 가야공원로 77-20,역사관광지,절,Busanjin-gu,부산 부산진구 가야공원로 77-20,35.1492037,129.030028,127
76,KT&G상상마당부산,부산 부산진구 서면로 39-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 서면로 39-0,35.1534174,129.0571664,127
77,수도사,부산 부산진구 개금본동로66번길 34-7,역사관광지,절,Busanjin-gu,부산 부산진구 개금본동로66번길 34-7,35.1577697,129.0200343,127
78,국립부산국악원,부산 부산진구 국악로 2-0,공연/행사,공연장,Busanjin-gu,부산 부산진구 국악로 2-0,35.1718924,129.0532978,127
79,연화사,부산 부산진구 성지로14번길 77-0,역사관광지,절,Busanjin-gu,부산 부산진구 성지로14번길 77,35.1721329,129.0567932,127
80,부산어린이대공원,부산 부산진구 새싹로 295-0,휴양관광지,테마파크,Busanjin-gu,부산 부산진구 새싹로 295,35.1608974,129.056557,127
81,백일사,부산 부산진구 망양로945번길 26-0,역사관광지,절,Busanjin-gu,부산 부산진구 망양로945번길 26-0,35.1427428,129.051402,127
82,멜팅포인트,부산 부산진구 서전로58번길 38-1,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 서전로58번길 38-1,35.1545226,129.0661514,127
83,안국사,부산 부산진구 안창로72번길 64-31,역사관광지,절,Busanjin-gu,부산 부산진구 안창로72번길 64-31,35.1434108,129.0386883,127
84,천룡사,부산 부산진구 성지곡로33번길 45-10,역사관광지,절,Busanjin-gu,부산 부산진구 성지곡로33번길 45-10,35.1859092,129.0457393,127
85,부산커피박물관,부산 부산진구 동천로 70-0,문화시설,박물관/기념관,Busanjin-gu,부산 부산진구 동천로 70-0,35.1547911,129.0617297,127
86,관음사,부산 부산진구 엄광로384번나길 72-0,역사관광지,절,Busanjin-gu,부산 부산진구,35.1632335,129.0529462,127
87,정효사,부산 부산진구 엄광로 460-5,역사관광지,절,Busanjin-gu,부산 부산진구 엄광로 460-5,35.1481031,129.0224133,127
88,부산포민속박물관,부산 부산진구 중앙대로702번길 21-0,문화시설,박물관/기념관,Busanjin-gu,부산 부산진구 중앙대로702번길 21-0,35.1553635,129.061722,127
89,극락사,부산 부산진구 초연로 23-6,역사관광지,절,Busanjin-gu,부산 부산진구 초연로 23-6,35.173782,129.0475522,127
90,전리단갤러리,부산 부산진구 서전로37번길 20-0,문화시설,화랑/전시관,Busanjin-gu,부산 부산진구 서전로37번길 20-0,35.1590283,129.0638249,127
91,보광원,부산 부산진구 진남로304번길 18-0,역사관광지,절,Busanjin-gu,부산 부산진구 진남로304번길 18-0,35.1528172,129.0734138,127
92,청년창조발전소디자인스프링,부산 부산진구 대학로36번길 10-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 대학로36번길 10-0,35.1521984,129.0332442,127
93,삼광사,부산 부산진구 초읍천로43번길 77-0,역사관광지,절,Busanjin-gu,부산 부산진구 초읍천로43번길 77,35.1759816,129.0454142,127
94,부산통일관,부산 부산진구 초읍천로 113-10,문화시설,화랑/전시관,Busanjin-gu,부산 부산진구 초읍천로 113-10,35.1822638,129.0464649,127
95,성도암,부산 부산진구 초읍천로 115-0,역사관광지,절,Busanjin-gu,부산 부산진구 초읍천로 115,35.1822638,129.0464649,127
96,가야사,부산 부산진구,역사관광지,절,Busanjin-gu,부산 부산진구,35.1632335,129.0529462,127
97,여여선원,부산 부산진구 동평로420번길 18-0,역사관광지,절,Busanjin-gu,부산 부산진구 동평로420번길 18-0,35.1724545,129.0699698,127
98,부산광역시립시민도서관,부산 부산진구 월드컵대로 462-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 월드컵대로 462,35.1874094,129.0562345,127
99,삼보게임랜드,부산 부산진구 서전로10번길 61-0,휴양관광지,놀이시설,Busanjin-gu,부산 부산진구 서전로10번길 61-0,35.1562538,129.0602139,127
100,부산광역시립부전도서관,부산 부산진구 동천로 79-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 동천로 79-0,35.1547911,129.0617297,127
101,CGV서면삼정타워,부산 부산진구 중앙대로 672-0,공연/행사,극장,Busanjin-gu,부산 부산진구 중앙대로 672,35.152987499999995,129.0596350607664,127
102,성지곡수원지,부산 부산진구 새싹로 295-0,휴양관광지,유원지,Busanjin-gu,부산 부산진구 새싹로 295,35.1608974,129.056557,127
103,놀이마루,부산 부산진구 전포대로209번길 26-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 전포대로209번길 26-0,35.1552179,129.0642508,127
104,호천문화플랫폼,부산 부산진구 엄광로 491-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 엄광로 491,35.1481031,129.0224133,127
105,서면1번가,부산 부산진구 신천대로62번길 0-0,휴양관광지,놀거리기타,Busanjin-gu,부산 부산진구 신천대로62번길 0-0,35.1521823,129.0584106,127
106,한국신발관,부산 부산진구 백양대로 227-0,문화시설,박물관/기념관,Busanjin-gu,부산 부산진구 백양대로 227,35.1624242,129.0464964,127
107,런닝맨부산점,부산 부산진구 중앙대로 672-0,휴양관광지,테마파크,Busanjin-gu,부산 부산진구 중앙대로 672,35.152987499999995,129.0596350607664,127
