순위,관광지명,주소,분류,외지인 검색 수
85,호텔오마이,부산 연제구 과정로191번길 59-0,모텔/여관,708
86,연제문화체육공원,부산 연제구,공원,707
87,센트럴호텔,부산 연제구 중앙대로 1122-0,호텔,692
88,초록마을거제점,부산 연제구 아시아드대로 106-0,농수축산물시장,687
89,호텔샤이어,부산 연제구 반송로 18-6,모텔/여관,654
90,휴마트연산점연산점,부산 연제구 거제천로 142-0,쇼핑기타,627
91,독도청과도매시장,부산 연제구 거제천로 152-0,농수축산물시장,613
92,FCBS89유소년축구클럽,부산 연제구 반송로 89-0,레저/스포츠기타,595
93,황령산벚꽃길,부산 연제구,관광명소기타,588
94,아바모텔,부산 연제구 거제천로152번길 56-0,모텔/여관,573
95,골프프렌드부산동래점,부산 연제구 거제대로 148-0,쇼핑기타,524
96,아이유모텔,부산 연제구 월드컵대로99번길 31-0,모텔/여관,506
97,삼호볼링장,부산 연제구 과정로 137-0,레저/스포츠기타,497
97,페이스뮤직부산점,부산 연제구 해맞이로117번길 9-0,쇼핑기타,497
99,시애틀비호텔,부산 연제구 거제천로154번길 42-0,호텔,487
100,꿈나무열대어,부산 연제구 거제대로 172-0,쇼핑기타,483
