순위,관광지명,주소,분류,현지인 검색 수
87,조은스크린골프연습장,부산 연제구 과정로 314-0,골프장,110
88,다이아몬드관광호텔,부산 연제구 월드컵대로164번길 26-0,호텔,107
89,연산일동미라주더스타아파트상가1,부산 연제구 반송로 80-0,쇼핑기타,105
90,유림스크린골프,부산 연제구 해맞이로31번길 58-0,골프장,96
91,호텔아마레연산점,부산 연제구 거제천로154번길 36-0,모텔/여관,92
92,FCBS89유소년축구클럽,부산 연제구 반송로 89-0,레저/스포츠기타,88
92,홈플러스익스프레스토곡점,부산 연제구 과정로 226-0,쇼핑기타,88
92,골프존파크사직골프랜드점,부산 연제구 경기장로 21-0,골프장,88
95,호텔샤이어,부산 연제구 반송로 18-6,모텔/여관,83
96,올리브영부산거제점,부산 연제구 아시아드대로 93-0,쇼핑기타,81
97,대영레포츠수영장,부산 연제구 연안로 25-0,수영장,80
98,홈타운골프존,부산 연제구 법원북로 45-0,골프장,75
99,센트럴호텔,부산 연제구 중앙대로 1122-0,호텔,74
99,아바모텔,부산 연제구 거제천로152번길 56-0,모텔/여관,74
