순위,관광지명,주소,분류,현지인 검색 수
91,펫마트부곡점,부산 금정구 중앙대로 1675-0,쇼핑기타,111
92,GS더프레시부곡점,부산 금정구 부곡로 79-0,쇼핑기타,108
93,세븐일레븐부산남산대박점,부산 금정구 범어천로31번길 16-0,쇼핑기타,103
94,올레모텔,부산 금정구 식물원로29번길 25-0,모텔/여관,100
95,한살림구서매장,부산 금정구 금강로 557-0,농수축산물시장,98
96,호텔G&G,부산 금정구 금정로 242-0,호텔,93
96,신천테니스장,부산 금정구 체육공원로 483-0,레저/스포츠기타,93
98,가인슈퍼,부산 금정구 금사로 39-0,쇼핑기타,92
99,구서오시게시장,부산 금정구 구서로 12-0,종합시장,91
99,금륜공구,부산 금정구 반송로 460-0,쇼핑기타,91
