순위,관광지명,주소,분류,외지인 검색 수
91,탄생의신비관청소년성문화센터,부산 금정구 체육공원로399번길 324-0,문화생활시설기타,631
92,호텔G&G,부산 금정구 금정로 242-0,호텔,617
93,위드골프존,부산 금정구 중앙대로1826번길 10-8,골프장,585
94,니즈호텔,부산 금정구 팔송로24번길 52-0,모텔/여관,582
95,초록마술극장,부산 금정구 기찰로108번길 49-0,극장,575
96,베니스모텔,부산 금정구 서동로186번길 18-6,모텔/여관,534
97,땅뫼산,부산 금정구,명산,520
98,윙크안경,부산 금정구 금정로 62-0,쇼핑기타,505
99,하늘완구,부산 금정구 중앙대로 2053-0,쇼핑기타,502
100,구시코리아,부산 금정구 공단로50번길 1-0,쇼핑기타,475
