순위,관광지명,주소,분류,외지인 검색 수
88,프루토프루타,부산 부산진구 전포대로224번길 28-0,쇼핑기타,1948
89,더샵센트럴스타상가,부산 부산진구 중앙대로666번길 50-0,쇼핑기타,1905
90,다이소부산양정점,부산 부산진구 중앙대로 904-0,쇼핑기타,1884
91,정묘사,부산 부산진구,고택/생가/민속마을,1874
92,롯데시네마서면,부산 부산진구 동천로 92-0,극장,1853
93,브라운도트호텔서면롯데점,부산 부산진구 가야대로756번길 18-0,호텔,1834
94,넘버25호텔서면1번가점,부산 부산진구 부전로20번길 14-0,호텔,1802
95,롯데시네마부산본점,부산 부산진구 가야대로 772-0,극장,1797
96,LG디스커버리랩부산,부산 부산진구 새싹로 165-0,과학관,1782
97,덴바스타호텔,부산 부산진구 자유평화로37번길 41-0,호텔,1779
98,가야시장,부산 부산진구 가야대로 667-0,종합시장,1774
99,센트럴스퀘어,부산 부산진구 중앙대로666번길 50-0,쇼핑센터,1724
100,서면지하도상가,부산 부산진구 중앙대로 지하 717-0,쇼핑기타,1720
