,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,구군명,구군명(영어)
65,봉림사,부산 기장군 부명1길 20-0,역사관광지,절,기장군,Gijang-gun
66,정암사,부산 기장군 곰내길 379-6,역사관광지,절,기장군,Gijang-gun
67,대천사,부산 기장군 제석골길 89-0,역사관광지,절,기장군,Gijang-gun
68,연암수목원,부산 기장군 철마천로 212-0,휴양관광지,동식물원,기장군,Gijang-gun
69,동림사,부산 기장군 기장대로 143-12,역사관광지,절,기장군,Gijang-gun
70,기장죽성리해송,부산 기장군 두호2길 20-0,역사관광지,문화유적지,기장군,Gijang-gun
71,극락암,부산 기장군 철마로 425-0,역사관광지,절,기장군,Gijang-gun
72,수도암,부산 기장군 홍류길 44-0,역사관광지,절,기장군,Gijang-gun
73,방곡사,부산 기장군 구연방곡로 87-0,역사관광지,절,기장군,Gijang-gun
74,꿈꾸는공방,부산 기장군 가동2길 4-0,문화시설,문화생활시설기타,기장군,Gijang-gun
75,원적사,부산 기장군 장곡길 63-34,역사관광지,절,기장군,Gijang-gun
76,초암사,부산 기장군 동서길 79-57,역사관광지,절,기장군,Gijang-gun
77,휴심사,부산 기장군 일광로 493-47,역사관광지,절,기장군,Gijang-gun
78,갤러리후아,부산 기장군 곰내길 242-0,문화시설,문화생활시설기타,기장군,Gijang-gun
79,보원사,부산 기장군 양수길 7-11,역사관광지,절,기장군,Gijang-gun
80,도선사,부산 기장군 상곡길 116-0,역사관광지,절,기장군,Gijang-gun
81,선바위유원지,부산 기장군,휴양관광지,유원지,기장군,Gijang-gun
82,고려암,부산 기장군 화전2길 51-0,역사관광지,절,기장군,Gijang-gun
83,덕주사,부산 기장군 장곡길 63-10,역사관광지,절,기장군,Gijang-gun
84,수효사,부산 기장군 방모산2길 20-23,역사관광지,절,기장군,Gijang-gun
85,대성사,부산 기장군 달음길 30-18,역사관광지,절,기장군,Gijang-gun
86,횡금사,부산 기장군 곡천길 286-320,역사관광지,절,기장군,Gijang-gun
87,기장도예관,부산 기장군 임랑해안길 82-0,문화시설,화랑/전시관,기장군,Gijang-gun
88,원효대,부산 기장군 상곡길 45-8,역사관광지,절,기장군,Gijang-gun
89,묘법사,부산 기장군,역사관광지,절,기장군,Gijang-gun
90,국립부산어린이과학관건축중(2022년1월개관예정),부산 기장군 동부산관광6로 59-0,문화시설,과학관,기장군,Gijang-gun
91,장안요,부산 기장군 하장안1길 24-0,문화시설,문화생활시설기타,기장군,Gijang-gun
92,약수정사,부산 기장군 이화로 109-29,역사관광지,절,기장군,Gijang-gun
93,용주사,부산 기장군 일광로 435-6,역사관광지,절,기장군,Gijang-gun
94,시연갤러리,부산 기장군 구연방곡로 91-0,문화시설,전시장,기장군,Gijang-gun
95,대덕사,부산 기장군 갑골길 14-10,역사관광지,절,기장군,Gijang-gun
96,예홈동부산전시장,부산 기장군 기장해안로 118-0,문화시설,전시장,기장군,Gijang-gun
97,백련암,부산 기장군 장안로 490-75,역사관광지,절,기장군,Gijang-gun
98,약수암,부산 기장군 달음산길 10-0,역사관광지,절,기장군,Gijang-gun
99,광덕사,부산 기장군 칠암3길 66-0,역사관광지,절,기장군,Gijang-gun
100,정토사,부산 기장군 차성로249번길 50-0,역사관광지,절,기장군,Gijang-gun
101,대승사,부산 기장군 양수1길 67-0,역사관광지,절,기장군,Gijang-gun
102,미황사,부산 기장군 내리길 80-56,역사관광지,절,기장군,Gijang-gun
103,상선암,부산 기장군 와여1길 37-0,역사관광지,절,기장군,Gijang-gun
104,월성사,부산 기장군 월내2길 88-0,역사관광지,절,기장군,Gijang-gun
105,보명사,부산 기장군 차성서로101번길 27-0,역사관광지,절,기장군,Gijang-gun
106,옥남사,부산 기장군 오리길 420-32,역사관광지,절,기장군,Gijang-gun
107,청광식물원,부산 기장군,휴양관광지,동식물원,기장군,Gijang-gun
108,대도사,부산 기장군 상곡길 70-0,역사관광지,절,기장군,Gijang-gun
109,보덕사,부산 기장군 기장대로 1303-38,역사관광지,절,기장군,Gijang-gun
110,무궁사,부산 기장군 청원길 215-13,역사관광지,절,기장군,Gijang-gun
111,해강수석전시관,부산 기장군 일광로 261-0,문화시설,화랑/전시관,기장군,Gijang-gun
112,용소농원,부산 기장군 기장대로 1627-0,휴양관광지,동식물원,기장군,Gijang-gun
113,공명암,부산 기장군 삼성길 10-24,역사관광지,절,기장군,Gijang-gun
114,청광사,부산 기장군 고촌로18번길 10-0,역사관광지,절,기장군,Gijang-gun
115,극락암,부산 기장군 용궁길 44-59,역사관광지,절,기장군,Gijang-gun
116,용두사,부산 기장군 갑골길 14-10,역사관광지,절,기장군,Gijang-gun
117,연화산해광사,부산 기장군 기장해안로 340-0,역사관광지,절,기장군,Gijang-gun
118,아람농원,부산 기장군 백운산길 63-0,휴양관광지,동식물원,기장군,Gijang-gun
119,오송암,부산 기장군 대청로36번길 18-0,역사관광지,절,기장군,Gijang-gun
120,용궁암,부산 기장군 판곡길 15-8,역사관광지,절,기장군,Gijang-gun
121,이연주갤러리,부산 기장군 동암해안길 6-0,문화시설,화랑/전시관,기장군,Gijang-gun
122,봉화사,부산 기장군 월내4길 49-18,역사관광지,절,기장군,Gijang-gun
123,갤러리이,부산 기장군 철마로 513-0,문화시설,화랑/전시관,기장군,Gijang-gun
124,기장읍성,부산 기장군 읍내로104번길 19-0,역사관광지,문화유적지,기장군,Gijang-gun
125,약수선원,부산 기장군 석산길 99-0,역사관광지,절,기장군,Gijang-gun
126,구월정사,부산 기장군 중리1길 22-19,역사관광지,절,기장군,Gijang-gun
127,봉화암,부산 기장군,역사관광지,절,기장군,Gijang-gun
128,원력사,부산 기장군 임곡1길 48-5,역사관광지,절,기장군,Gijang-gun
129,칠암작은도서관,부산 기장군 문오성길 485-5,문화시설,문화생활시설기타,기장군,Gijang-gun
130,금선사,부산 기장군 신평1길 32-68,역사관광지,절,기장군,Gijang-gun
131,임씨농장,부산 기장군 선암길 58-7,휴양관광지,동식물원,기장군,Gijang-gun
132,일광사,부산 기장군 이천8길 64-7,역사관광지,절,기장군,Gijang-gun
133,심우정사,부산 기장군 반룡1길 16-0,역사관광지,절,기장군,Gijang-gun
134,성주암,부산 기장군 웅상대로 636-7,역사관광지,절,기장군,Gijang-gun
135,위드에블린,부산 기장군 모전2길 21-0,문화시설,문화생활시설기타,기장군,Gijang-gun
136,해용사,부산 기장군 기장해안로 635-0,역사관광지,절,기장군,Gijang-gun
137,백운선원,부산 기장군 내리길 65-7,역사관광지,절,기장군,Gijang-gun
138,능엄사,부산 기장군 반송로 1305-28,역사관광지,절,기장군,Gijang-gun
139,영일암,부산 기장군 기장해안로 233-1,역사관광지,절,기장군,Gijang-gun
140,금광사,부산 기장군 임곡1길 197-0,역사관광지,절,기장군,Gijang-gun
141,보광사,부산 기장군 정관상곡2길 33-124,역사관광지,절,기장군,Gijang-gun
142,장관청,부산 기장군 읍내로68번길 23-1,역사관광지,문화유적지,기장군,Gijang-gun
143,동백농원,부산 기장군 정관로 49-42,휴양관광지,동식물원,기장군,Gijang-gun
144,학림사,부산 기장군 일광로 285-7,역사관광지,절,기장군,Gijang-gun
145,법화사,부산 기장군 병산로 0-0,역사관광지,절,기장군,Gijang-gun
146,관음암,부산 기장군 산수곡길 102-0,역사관광지,절,기장군,Gijang-gun
147,낙안사,부산 기장군 강변길 10-0,역사관광지,절,기장군,Gijang-gun
148,의열사,부산 기장군 와여1길 28-21,역사관광지,절,기장군,Gijang-gun
149,일광사,부산 기장군 원당길 9-29,역사관광지,절,기장군,Gijang-gun
150,백운산관음암,부산 기장군 양수길 56-14,역사관광지,절,기장군,Gijang-gun
151,약사암,부산 기장군 동서길 79-11,역사관광지,절,기장군,Gijang-gun
152,원효암,부산 기장군 상곡길 45-8,역사관광지,절,기장군,Gijang-gun
153,BEXCO,부산 해운대구 APEC로 55-0,문화시설,전시장,해운대구,Haeundae-gu
154,더베이101,부산 해운대구 동백로 52-0,문화시설,문화생활시설기타,해운대구,Haeundae-gu
155,SEA LIFE 부산아쿠아리움,부산 해운대구 해운대해변로 266-0,휴양관광지,수족관,해운대구,Haeundae-gu
156,벡스코제2전시장,부산 해운대구 APEC로 30-0,문화시설,전시장,해운대구,Haeundae-gu
157,부산광역시립반송도서관,부산 해운대구 아랫반송로 22-0,문화시설,문화생활시설기타,해운대구,Haeundae-gu
158,영화의전당,부산 해운대구 수영강변대로 120-0,공연/행사,극장,해운대구,Haeundae-gu
159,해운대수목원,부산 해운대구,휴양관광지,동식물원,해운대구,Haeundae-gu
160,해운대구문화복합센터,부산 해운대구 센텀중앙로 170-0,문화시설,문화생활시설기타,해운대구,Haeundae-gu
161,부산시립미술관,부산 해운대구 APEC로 58-0,문화시설,미술관,해운대구,Haeundae-gu
162,뮤지엄다,부산 해운대구 센텀서로 20-0,문화시설,미술관,해운대구,Haeundae-gu
163,롯데시네마프리미엄해운대,부산 해운대구 해운대로 802-0,공연/행사,극장,해운대구,Haeundae-gu
164,해리단길,부산 해운대구,휴양관광지,놀거리기타,해운대구,Haeundae-gu
165,CGV해운대,부산 해운대구 해운대로 620-0,공연/행사,극장,해운대구,Haeundae-gu
166,해운대블루라인파크,부산 해운대구,휴양관광지,테마파크,해운대구,Haeundae-gu
167,해운대도서관본관,부산 해운대구 양운로 183-0,문화시설,문화생활시설기타,해운대구,Haeundae-gu
168,반여도서관,부산 해운대구 재반로282번길 38-0,문화시설,문화생활시설기타,해운대구,Haeundae-gu
169,키자니아부산점,부산 해운대구 센텀4로 15-0,휴양관광지,놀이시설,해운대구,Haeundae-gu
170,해운정사,부산 해운대구 우동2로 40-6,역사관광지,절,해운대구,Haeundae-gu
171,CGV센텀시티,부산 해운대구 센텀남대로 35-0,공연/행사,극장,해운대구,Haeundae-gu
172,해운대온천센터,부산 해운대구 중동2로 16-0,휴양관광지,온천,해운대구,Haeundae-gu
173,벡스코오디토리움,부산 해운대구 APEC로 55-0,문화시설,전시장,해운대구,Haeundae-gu
174,롯데시네마센텀시티,부산 해운대구 센텀남대로 59-0,공연/행사,극장,해운대구,Haeundae-gu
175,소향씨어터신한카드홀,부산 해운대구 센텀중앙로 55-0,공연/행사,공연장,해운대구,Haeundae-gu
176,해운대인문학도서관,부산 해운대구 반여로 132-0,문화시설,문화생활시설기타,해운대구,Haeundae-gu
177,부산송정역폐역,부산 해운대구 송정중앙로8번길 60-0,역사관광지,문화유적지,해운대구,Haeundae-gu
178,재송어린이도서관,부산 해운대구 해운대로76번길 35-1,문화시설,문화생활시설기타,해운대구,Haeundae-gu
179,센텀시티스파랜드,부산 해운대구 센텀남대로 35-0,휴양관광지,온천,해운대구,Haeundae-gu
180,성불사,부산 해운대구 해운대로383번길 270-0,역사관광지,절,해운대구,Haeundae-gu
181,아세안문화원,부산 해운대구 좌동로 162-0,문화시설,문화원,해운대구,Haeundae-gu
182,추리문학관,부산 해운대구 달맞이길117번나길 111-0,문화시설,문화생활시설기타,해운대구,Haeundae-gu
183,뮤지엄원,부산 해운대구 센텀서로 20-0,문화시설,미술관,해운대구,Haeundae-gu
184,해운대도서관우동분관,부산 해운대구 우동1로 89-0,문화시설,문화생활시설기타,해운대구,Haeundae-gu
185,조현화랑,부산 해운대구 달맞이길65번길 171-0,문화시설,화랑/전시관,해운대구,Haeundae-gu
186,메가박스해운대,부산 해운대구 해운대로 813-0,공연/행사,극장,해운대구,Haeundae-gu
187,부산영화의거리,부산 해운대구,휴양관광지,놀거리기타,해운대구,Haeundae-gu
188,할매탕,부산 해운대구 중동2로10번길 7-0,휴양관광지,온천,해운대구,Haeundae-gu
189,수도암,부산 해운대구 해운대로383번가길 117-120,역사관광지,절,해운대구,Haeundae-gu
190,해운대동백섬,부산 해운대구,역사관광지,문화유적지,해운대구,Haeundae-gu
191,하늘연극장영화의전당,부산 해운대구 수영강변대로 120-0,공연/행사,극장,해운대구,Haeundae-gu
192,해월정사,부산 해운대구 청사포로67번길 19-0,역사관광지,절,해운대구,Haeundae-gu
193,컨벤션홀BEXCO,부산 해운대구,문화시설,전시장,해운대구,Haeundae-gu
194,벡스코상상체험키즈월드,부산 해운대구 APEC로 30-0,휴양관광지,놀이시설,해운대구,Haeundae-gu
195,고은사진미술관,부산 해운대구 해운대로452번길 16-0,문화시설,미술관,해운대구,Haeundae-gu
196,해운대로데오거리,부산 해운대구,휴양관광지,놀거리기타,해운대구,Haeundae-gu
197,폭포사,부산 해운대구 장산로 331-112,역사관광지,절,해운대구,Haeundae-gu
198,동해사,부산 해운대구 달맞이길117번나길 175-32,역사관광지,절,해운대구,Haeundae-gu
199,맥화랑,부산 해운대구 달맞이길117번나길 162-0,문화시설,화랑/전시관,해운대구,Haeundae-gu
200,광안대로전시관,부산 해운대구 수영강변대로 203-0,문화시설,화랑/전시관,해운대구,Haeundae-gu
201,안심정사부산달맞이법당,부산 해운대구 달맞이길117번다길 149-0,역사관광지,절,해운대구,Haeundae-gu
202,적조암,부산 해운대구,역사관광지,절,해운대구,Haeundae-gu
203,해림사,부산 해운대구 반여로 68-38,역사관광지,절,해운대구,Haeundae-gu
204,약수암,부산 해운대구 해운대로383번가길 117-55,역사관광지,절,해운대구,Haeundae-gu
205,월석아트홀,부산 해운대구 센텀서로 20-0,문화시설,화랑/전시관,해운대구,Haeundae-gu
206,갤러리조이,부산 해운대구 달맞이길65번길 56-0,문화시설,화랑/전시관,해운대구,Haeundae-gu
207,원오사,부산 해운대구 윗반송로 124-5,역사관광지,절,해운대구,Haeundae-gu
208,옥천사,부산 해운대구 재반로64번길 62-0,역사관광지,절,해운대구,Haeundae-gu
209,수아트홀,부산 해운대구 중동1로19번길 14-0,공연/행사,공연장,해운대구,Haeundae-gu
210,해운대청년채움공간,부산 해운대구 센텀동로 200-0,문화시설,문화생활시설기타,해운대구,Haeundae-gu
211,대광명사,부산 해운대구 좌동순환로 473-0,역사관광지,절,해운대구,Haeundae-gu
212,리빈갤러리,부산 해운대구 좌동로63번길 23-0,문화시설,화랑/전시관,해운대구,Haeundae-gu
213,석대암,부산 해운대구 반송로623번길 56-1,역사관광지,절,해운대구,Haeundae-gu
214,해영사,부산 해운대구 좌동순환로 22-0,역사관광지,절,해운대구,Haeundae-gu
215,개운사,부산 해운대구 반송로877번길 104-0,역사관광지,절,해운대구,Haeundae-gu
216,쿠무다,부산 해운대구 송정광어골로 41-0,문화시설,문화생활시설기타,해운대구,Haeundae-gu
217,금수암,부산 해운대구 재반로30번가길 6-0,역사관광지,절,해운대구,Haeundae-gu
218,느티나무도서관,부산 해운대구 윗반송로 57-0,문화시설,문화생활시설기타,해운대구,Haeundae-gu
219,보경사,부산 해운대구 반송순환로72번길 12-5,역사관광지,절,해운대구,Haeundae-gu
220,백운사,부산 해운대구 운봉길 315-0,역사관광지,절,해운대구,Haeundae-gu
221,아트소향,부산 해운대구 센텀중앙로 55-0,문화시설,화랑/전시관,해운대구,Haeundae-gu
222,해운대문화놀이센터,부산 해운대구 반송순환로 147-0,문화시설,문화생활시설기타,해운대구,Haeundae-gu
223,KNN시어터,부산 해운대구 센텀서로 30-0,공연/행사,공연장,해운대구,Haeundae-gu
224,뮤지엄오브일루전,부산 해운대구 수영강변대로 120-0,문화시설,미술관,해운대구,Haeundae-gu
225,해운대온천,부산 해운대구 중동1로 46-0,휴양관광지,온천,해운대구,Haeundae-gu
226,재송2동어르신일자리문화센터,부산 해운대구 재반로103번길 41-0,문화시설,문화생활시설기타,해운대구,Haeundae-gu
227,더브릿지,부산 해운대구 해운대해변로209번가길 29-1,문화시설,문화생활시설기타,해운대구,Haeundae-gu
228,소울아트스페이스,부산 해운대구 해운대해변로 30-0,문화시설,화랑/전시관,해운대구,Haeundae-gu
229,대한불교조계종원각사,부산 해운대구 장산로 427-291,역사관광지,절,해운대구,Haeundae-gu
230,반여1동문화센터,부산 해운대구 선수촌로 99-7,문화시설,문화생활시설기타,해운대구,Haeundae-gu
231,카린,부산 해운대구 달맞이길65번길 154-0,문화시설,화랑/전시관,해운대구,Haeundae-gu
232,지륜심인당,부산 해운대구 좌동순환로468번가길 12-0,역사관광지,절,해운대구,Haeundae-gu
233,석태암,부산 해운대구 장산로 331-79,역사관광지,절,해운대구,Haeundae-gu
234,길상사,부산 해운대구 해운대로469번길 180-0,역사관광지,절,해운대구,Haeundae-gu
235,두타사,부산 해운대구 달맞이길 495-0,역사관광지,절,해운대구,Haeundae-gu
236,한국문화센터,부산 해운대구 양운로 98-0,문화시설,문화생활시설기타,해운대구,Haeundae-gu
237,용수사,부산 해운대구 아랫반송로70번길 72-0,역사관광지,절,해운대구,Haeundae-gu
238,반야선원,부산 해운대구 세실로 87-0,역사관광지,절,해운대구,Haeundae-gu
239,해월사,부산 해운대구 해운대로383번길 191-0,역사관광지,절,해운대구,Haeundae-gu
240,미륵암,부산 해운대구 좌동순환로468번가길 49-0,역사관광지,절,해운대구,Haeundae-gu
241,무주사,부산 해운대구 반송순환로184번길 16-0,역사관광지,절,해운대구,Haeundae-gu
242,반송삼절사,부산 해운대구 신반송로182번길 24-0,역사관광지,문화유적지,해운대구,Haeundae-gu
243,부산시립어린이미술관,부산 해운대구 APEC로 58-0,문화시설,미술관,해운대구,Haeundae-gu
244,대운사,부산 해운대구 송정광어골로 62-0,역사관광지,절,해운대구,Haeundae-gu
245,해운대문화원,부산 해운대구 센텀중앙로 170-0,문화시설,문화원,해운대구,Haeundae-gu
246,갤러리하이,부산 해운대구 재반로27번길 36-13,문화시설,화랑/전시관,해운대구,Haeundae-gu
247,정맹룡도예공방,부산 해운대구 좌동로53번길 17-0,문화시설,문화생활시설기타,해운대구,Haeundae-gu
248,고려온천탕,부산 해운대구 중동1로19번길 24-0,휴양관광지,온천,해운대구,Haeundae-gu
249,혜연사,부산 해운대구 달맞이길 511-0,역사관광지,절,해운대구,Haeundae-gu
250,레디움아트센터,부산 해운대구 해운대해변로298번길 24-0,문화시설,화랑/전시관,해운대구,Haeundae-gu
251,화엄법계사,부산 해운대구 재반로12번길 28-0,역사관광지,절,해운대구,Haeundae-gu
252,작은인문학도서관,부산 해운대구 센텀중앙로 170-0,문화시설,문화생활시설기타,해운대구,Haeundae-gu
253,도자공방가원,부산 해운대구 달맞이길117번가길 30-0,문화시설,문화생활시설기타,해운대구,Haeundae-gu
254,라이크휩크림,부산 해운대구 APEC로 17-0,문화시설,문화생활시설기타,해운대구,Haeundae-gu
255,갤러리아트숲,부산 해운대구 청사포로 85-0,문화시설,화랑/전시관,해운대구,Haeundae-gu
256,혜광사,부산 해운대구 반송로 559-2,역사관광지,절,해운대구,Haeundae-gu
