,순위,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수,구군명
7719,7704,백양산한가족스포츠센터,부산 부산진구 백양산로53번길 24-0,레포츠(육상/해상/항공),레저/스포츠기타,211,부산진구
10739,10713,오션프라자볼링센터,부산 금정구 부산대학로 49-0,레포츠(육상/해상/항공),레저/스포츠기타,99,금정구
10750,10748,피크원,부산 부산진구 성지로 112-0,레포츠(육상/해상/항공),레저/스포츠기타,98,부산진구
7710,7704,삼성스포렉스볼링센터,부산 동래구 명장로20번길 84-0,레포츠(육상/해상/항공),레저/스포츠기타,211,동래구
2553,2554,홈플러스아시아드볼링장,부산 연제구 종합운동장로 7-0,레포츠(육상/해상/항공),레저/스포츠기타,1469,연제구
9264,9252,워너짐,부산 부산진구 가야대로 561-0,레포츠(육상/해상/항공),레저/스포츠기타,140,부산진구
1854,1854,동구국민체육문예센터,부산 동구 구청로 8-0,레포츠(육상/해상/항공),레저/스포츠기타,2192,동구
9364,9334,삼락강변체육공원인라인연습장,부산 사상구,레포츠(육상/해상/항공),레저/스포츠기타,137,사상구
9175,9159,피티스미스,부산 기장군 정관8로 28-0,레포츠(육상/해상/항공),레저/스포츠기타,144,기장군
6136,6135,양사장베이스볼센터,부산 사상구 괘감로 127-0,레포츠(육상/해상/항공),레저/스포츠기타,344,사상구
6175,6173,한마음피트니스학장본점,부산 사상구 학감대로 117-0,레포츠(육상/해상/항공),레저/스포츠기타,341,사상구
4330,4326,임랑서핑학교,부산 기장군 임랑해안길 61-0,레포츠(육상/해상/항공),레저/스포츠기타,664,기장군
8955,8944,영롤러스케이트장,부산 사하구 장평로 440-0,레포츠(육상/해상/항공),레저/스포츠기타,152,사하구
6241,6242,헬스보이짐사상점,부산 사상구 광장로81번길 30-0,레포츠(육상/해상/항공),레저/스포츠기타,333,사상구
6254,6250,비치볼링센터,부산 수영구 남천동로 82-0,레포츠(육상/해상/항공),레저/스포츠기타,332,수영구
11263,11219,피플락클라이밍,부산 동래구 명륜로112번가길 51-0,레포츠(육상/해상/항공),레저/스포츠기타,88,동래구
2726,2726,삼성볼링장,부산 동래구 명장로20번길 90-0,레포츠(육상/해상/항공),레저/스포츠기타,1356,동래구
7196,7197,퀸덤스포렉스,부산 강서구 명지오션시티11로 51-0,레포츠(육상/해상/항공),레저/스포츠기타,245,강서구
4194,4192,피트니스캐슬,부산 북구 금곡대로 126-0,레포츠(육상/해상/항공),레저/스포츠기타,701,북구
2144,2143,부경배드민턴센터,부산 강서구 대저로155번가길 18-0,레포츠(육상/해상/항공),레저/스포츠기타,1860,강서구
7591,7582,KT소닉붐주니어해운대점,부산 해운대구 좌동순환로433번길 38-22,레포츠(육상/해상/항공),레저/스포츠기타,218,해운대구
8854,8848,부산사직종합운동장역도훈련장,부산 동래구 사직로 55-6,레포츠(육상/해상/항공),레저/스포츠기타,156,동래구
1423,1424,동래구국민체육센터,부산 동래구 미남로 110-0,레포츠(육상/해상/항공),레저/스포츠기타,2897,동래구
8850,8848,맥시멈휘트니스,부산 강서구 신호산단2로 33-0,레포츠(육상/해상/항공),레저/스포츠기타,156,강서구
1731,1732,웨이브락 클라이밍광안점,부산 수영구 장대골로 41-0,레포츠(육상/해상/항공),레저/스포츠기타,2351,수영구
7209,7197,라이프타운볼링센터,부산 금정구 서동로175번길 46-0,레포츠(육상/해상/항공),레저/스포츠기타,245,금정구
6306,6305,벨로시티휘트니스광안점,부산 수영구 수영로 631-0,레포츠(육상/해상/항공),레저/스포츠기타,326,수영구
11196,11177,라티노바,부산 부산진구 부전로 47-0,레포츠(육상/해상/항공),레저/스포츠기타,89,부산진구
11167,11120,레인보우파크락볼링장,부산 사하구 다대동로 20-0,레포츠(육상/해상/항공),레저/스포츠기타,90,사하구
11155,11120,팀터틀랫휘트니스4호점,부산 강서구 명지오션시티11로 74-0,레포츠(육상/해상/항공),레저/스포츠기타,90,강서구
792,793,대연킴스볼링장,부산 남구 석포로 116-0,레포츠(육상/해상/항공),레저/스포츠기타,5236,남구
9125,9099,알통클럽H,부산 사상구 낙동대로 751-0,레포츠(육상/해상/항공),레저/스포츠기타,146,사상구
4490,4489,화명휘트니스,부산 북구 금곡대로 287-0,레포츠(육상/해상/항공),레저/스포츠기타,626,북구
9118,9099,금강배드민턴클럽,부산 동래구 우장춘로 157-41,레포츠(육상/해상/항공),레저/스포츠기타,146,동래구
11004,10980,아나하타요가원,부산 부산진구 새싹로 262-0,레포츠(육상/해상/항공),레저/스포츠기타,93,부산진구
2666,2667,해운대배드민턴센터,부산 해운대구 반송로623번길 45-0,레포츠(육상/해상/항공),레저/스포츠기타,1391,해운대구
4409,4407,스파볼링장,부산 동래구 금강공원로 10-1,레포츠(육상/해상/항공),레저/스포츠기타,643,동래구
4406,4407,ABC볼링센터,부산 서구 구덕로 102-1,레포츠(육상/해상/항공),레저/스포츠기타,643,서구
7144,7135,해운대FC스킬트레이닝센터,부산 해운대구 좌동순환로 11-0,레포츠(육상/해상/항공),레저/스포츠기타,250,해운대구
4499,4498,남구파워민턴,부산 남구 신선로 199-0,레포츠(육상/해상/항공),레저/스포츠기타,624,남구
11044,11028,뷰 볼링장,부산 부산진구 범일로 181-0,레포츠(육상/해상/항공),레저/스포츠기타,92,부산진구
11072,11071,금용레포츠타운,부산 북구 금곡대로 230-0,레포츠(육상/해상/항공),레저/스포츠기타,91,북구
375,376,수영구국민체육센터,부산 수영구 수영로521번길 77-0,레포츠(육상/해상/항공),레저/스포츠기타,10937,수영구
11120,11120,더나아짐,부산 동래구 명륜로112번길 108-0,레포츠(육상/해상/항공),레저/스포츠기타,90,동래구
930,931,아르피나스포츠센터,부산 해운대구 해운대해변로 35-0,레포츠(육상/해상/항공),레저/스포츠기타,4584,해운대구
11131,11120,큐브락볼링센터부산대연점,부산 남구 수영로 312-0,레포츠(육상/해상/항공),레저/스포츠기타,90,남구
1302,1303,캐슬스포츠센터,부산 사상구 모덕로 43-0,레포츠(육상/해상/항공),레저/스포츠기타,3193,사상구
11149,11120,팀매드경성대점,부산 남구 용소로13번길 13-0,레포츠(육상/해상/항공),레저/스포츠기타,90,남구
4351,4352,렛츠볼,부산 해운대구 센텀중앙로 97-0,레포츠(육상/해상/항공),레저/스포츠기타,658,해운대구
2684,2685,성일레포츠,부산 동래구 명장로 153-0,레포츠(육상/해상/항공),레저/스포츠기타,1380,동래구
4794,4791,달라스짐휘트니스,부산 해운대구 좌동로 88-0,레포츠(육상/해상/항공),레저/스포츠기타,557,해운대구
4795,4796,사하배드민턴아카데미,부산 사하구 을숙도대로677번길 11-0,레포츠(육상/해상/항공),레저/스포츠기타,556,사하구
7725,7723,벡스휘트니스,부산 해운대구 좌동로 47-0,레포츠(육상/해상/항공),레저/스포츠기타,210,해운대구
5568,5564,웨이브락클라이밍서면점,부산 부산진구 서전로9번길 20-0,레포츠(육상/해상/항공),레저/스포츠기타,414,부산진구
1794,1795,일루션풋살장용수리점,부산 기장군 용수공단2길 19-22,레포츠(육상/해상/항공),레저/스포츠기타,2256,기장군
2314,2315,알통클럽명지점,부산 강서구 명지국제1로 60-1,레포츠(육상/해상/항공),레저/스포츠기타,1702,강서구
2389,2390,코스모스볼링장,부산 사하구 장평로 7-0,레포츠(육상/해상/항공),레저/스포츠기타,1631,사하구
1791,1792,더델타배드민턴센터,부산 강서구 공항앞길85번길 68-0,레포츠(육상/해상/항공),레저/스포츠기타,2263,강서구
9647,9646,팀케이피트니스,부산 부산진구 동천로108번길 41-0,레포츠(육상/해상/항공),레저/스포츠기타,127,부산진구
2392,2391,화명스포렉스볼링센터,부산 북구 금곡대로285번길 13-0,레포츠(육상/해상/항공),레저/스포츠기타,1630,북구
6917,6913,토토볼링센터,부산 영도구 대평남로 8-0,레포츠(육상/해상/항공),레저/스포츠기타,269,영도구
5684,5677,코코몽키즈랜드부산대점,부산 금정구 부산대학로63번길 2-0,레포츠(육상/해상/항공),레저/스포츠기타,400,금정구
7069,7069,헬스달리아,부산 기장군 차성동로142번길 15-0,레포츠(육상/해상/항공),레저/스포츠기타,255,기장군
819,820,뽀로로파크부산W스퀘어점,부산 남구 분포로 145-0,레포츠(육상/해상/항공),레저/스포츠기타,5104,남구
704,705,연제구국민체육센터,부산 연제구 고분로56번길 40-0,레포츠(육상/해상/항공),레저/스포츠기타,5872,연제구
700,701,부산사회체육센터,부산 해운대구 APEC로 68-0,레포츠(육상/해상/항공),레저/스포츠기타,5884,해운대구
5391,5392,무지개휘트니스대연점,부산 남구 수영로 295-0,레포츠(육상/해상/항공),레저/스포츠기타,441,남구
5368,5366,멋짐휘트니스동래점,부산 동래구 명륜로103번길 8-0,레포츠(육상/해상/항공),레저/스포츠기타,446,동래구
7818,7803,더센터오브필라테스장산점,부산 해운대구 세실로 33-0,레포츠(육상/해상/항공),레저/스포츠기타,205,해운대구
7082,7082,인스파인,부산 동래구 중앙대로1381번길 37-0,레포츠(육상/해상/항공),레저/스포츠기타,254,동래구
806,807,금정산온천레포츠,부산 금정구 구서중앙로15번길 20-0,레포츠(육상/해상/항공),레저/스포츠기타,5150,금정구
5411,5403,MC피트니스&기구필라테스,부산 동래구 명륜로 161-0,레포츠(육상/해상/항공),레저/스포츠기타,439,동래구
10174,10149,플레이짐풋살센터,부산 해운대구 좌동순환로249번길 21-0,레포츠(육상/해상/항공),레저/스포츠기타,113,해운대구
10172,10149,KN퍼스널트레이닝토성점,부산 서구 구덕로 207-1,레포츠(육상/해상/항공),레저/스포츠기타,113,서구
9902,9880,24시당구클럽,부산 강서구 명지오션시티4로 65-0,레포츠(육상/해상/항공),레저/스포츠기타,120,강서구
5507,5506,DIT서면풀장,부산 부산진구 양지로 54-0,레포츠(육상/해상/항공),레저/스포츠기타,423,부산진구
2370,2371,송정테니스파크,부산 해운대구,레포츠(육상/해상/항공),레저/스포츠기타,1649,해운대구
2372,2371,팔라시오FC해운대풋살장,부산 해운대구 좌동순환로 395-0,레포츠(육상/해상/항공),레저/스포츠기타,1649,해운대구
9933,9921,나인베이스볼아카데미,부산 금정구 중앙대로1719번길 47-0,레포츠(육상/해상/항공),레저/스포츠기타,119,금정구
5460,5460,위드피트니스연산점,부산 연제구 거제천로 94-0,레포츠(육상/해상/항공),레저/스포츠기타,431,연제구
5450,5448,시드니토탈휘트니스해운대점,부산 해운대구 해운대로 802-0,레포츠(육상/해상/항공),레저/스포츠기타,433,해운대구
7986,7985,엄궁유수지공원테니스장,부산 사상구 강변대로532번길 71-0,레포츠(육상/해상/항공),레저/스포츠기타,194,사상구
10288,10263,킴스볼링광안,부산 수영구 민락수변로 29-0,레포츠(육상/해상/항공),레저/스포츠기타,110,수영구
10037,10028,리치웰휘트니스광안점,부산 수영구 남천바다로21번길 85-0,레포츠(육상/해상/항공),레저/스포츠기타,116,수영구
7918,7907,짐스부산본사,부산 남구 용호로 91-0,레포츠(육상/해상/항공),레저/스포츠기타,199,남구
10118,10108,디톡스핏운동센터,부산 동래구 문화로 9-8,레포츠(육상/해상/항공),레저/스포츠기타,114,동래구
10121,10108,4번타자베이스볼배팅센터부산본점,부산 사상구 괘감로 127-0,레포츠(육상/해상/항공),레저/스포츠기타,114,사상구
10145,10108,승학스포츠센터,부산 사하구 마하로48번길 26-0,레포츠(육상/해상/항공),레저/스포츠기타,114,사하구
6884,6872,기장볼링센타,부산 기장군 기장대로 516-0,레포츠(육상/해상/항공),레저/스포츠기타,272,기장군
7911,7907,어나더짐,부산 수영구 광안해변로 311-0,레포츠(육상/해상/항공),레저/스포츠기타,199,수영구
6875,6872,오성피트니스구서점,부산 금정구 금강로 528-0,레포츠(육상/해상/항공),레저/스포츠기타,272,금정구
9730,9704,필라테스365명지점,부산 강서구 명지국제8로 254-0,레포츠(육상/해상/항공),레저/스포츠기타,125,강서구
9775,9745,장안배드민턴센터,부산 기장군 좌해로 39-0,레포츠(육상/해상/항공),레저/스포츠기타,124,기장군
9589,9583,송도시민볼링센터,부산 서구 충무대로 133-0,레포츠(육상/해상/항공),레저/스포츠기타,129,서구
1354,1355,스포원파크테니스경기장,부산 금정구 체육공원로399번길 324-0,레포츠(육상/해상/항공),레저/스포츠기타,3061,금정구
10314,10296,위드피트니스,부산 금정구 부산대학로 10-0,레포츠(육상/해상/항공),레저/스포츠기타,109,금정구
1402,1403,강동배드민턴센터,부산 강서구 낙동북로126번길 56-0,레포츠(육상/해상/항공),레저/스포츠기타,2951,강서구
4998,4999,동진스포렉스,부산 남구 황령대로319번가길 137-0,레포츠(육상/해상/항공),레저/스포츠기타,514,남구
4949,4948,피트니스인앤스타서면점,부산 부산진구 신천대로 252-0,레포츠(육상/해상/항공),레저/스포츠기타,524,부산진구
9399,9375,홀릭스 그라운드,부산 동래구 온천천로531번길 73-0,레포츠(육상/해상/항공),레저/스포츠기타,136,동래구
9397,9375,크레이지서퍼스,부산 수영구 광남로48번길 29-0,레포츠(육상/해상/항공),레저/스포츠기타,136,수영구
4883,4882,국제기구필라테스명지점,부산 강서구 명지국제8로 259-0,레포츠(육상/해상/항공),레저/스포츠기타,540,강서구
7744,7742,피티필드,부산 수영구 수영로 672-0,레포츠(육상/해상/항공),레저/스포츠기타,209,수영구
9393,9375,DG베이스볼아카데미,부산 금정구 동천로7번길 62-26,레포츠(육상/해상/항공),레저/스포츠기타,136,금정구
9401,9401,기장월드컵빌리지테니스장,부산 기장군,레포츠(육상/해상/항공),레저/스포츠기타,135,기장군
10540,10518,새론스포텍헬스,부산 북구 금곡대로303번길 61-0,레포츠(육상/해상/항공),레저/스포츠기타,104,북구
4847,4845,베스트피트니스,부산 해운대구 좌동순환로 473-0,레포츠(육상/해상/항공),레저/스포츠기타,547,해운대구
4843,4839,삼호볼링장,부산 연제구 과정로 137-0,레포츠(육상/해상/항공),레저/스포츠기타,548,연제구
10558,10518,KN퍼스널트레이닝대연점,부산 남구 수영로 174-0,레포츠(육상/해상/항공),레저/스포츠기타,104,남구
9381,9375,금정구청테니스장,부산 금정구 체육공원로447번길 100-0,레포츠(육상/해상/항공),레저/스포츠기타,136,금정구
8218,8211,기장해송배드민턴클럽,부산 기장군 차성서로101번길 12-5,레포츠(육상/해상/항공),레저/스포츠기타,183,기장군
