순위,관광지명,주소,분류,합산 검색 수
88,헤르몬호텔,부산 강서구 과학산단2로10번길 23-0,호텔,2424
89,더델타배드민턴센터,부산 강서구 공항앞길85번길 68-0,레저/스포츠기타,2417
90,델타루,부산 강서구,전망대,2379
91,공항상회,부산 강서구 평강로 185-1,쇼핑기타,2365
92,대항전망대,부산 강서구,전망대,2319
93,E편한세상명지아파트상가,부산 강서구 명지국제2로 80-0,쇼핑기타,2294
94,외항포항,부산 강서구,항구,2261
95,SG골프대명스크린,부산 강서구 명지국제8로10번길 12-0,골프장,2239
96,새바지항,부산 강서구,항구,2223
97,부경배드민턴센터,부산 강서구 대저로155번가길 18-0,레저/스포츠기타,2219
98,삼성프라자,부산 강서구 명지국제8로 264-0,쇼핑기타,2166
99,신항만낚시,부산 강서구,낚시,2147
100,넘버25호텔명지오션시티점비즈니스,부산 강서구 명지오션시티3로 41-0,모텔/여관,2139
