순위,관광지명,주소,분류,현지인 검색 수
85,홈플러스부산반여점,부산 해운대구 선수촌로21번길 37-0,쇼핑센터,6853
86,영화의전당,부산 해운대구 수영강변대로 120-0,극장,6726
87,장안사,부산 기장군 장안로 482-0,절,6491
88,강서체육공원,부산 강서구 체육공원로 43-0,공원,6304
89,벡스코제2전시장,부산 해운대구 APEC로 30-0,전시장,6208
90,하나로마트부산점,부산 북구 금곡대로 469-0,쇼핑센터,6088
91,해운대도서관본관,부산 해운대구 양운로 183-0,문화생활시설기타,5986
92,마린파크,부산 해운대구 마린시티2로 2-0,쇼핑기타,5934
93,NC백화점부산대점,부산 금정구 부산대학로63번길 2-0,쇼핑센터,5829
94,임랑해수욕장,부산 기장군,해수욕장,5828
95,센텀프리미어호텔,부산 해운대구 센텀1로 17-0,호텔,5797
96,홈플러스장림점,부산 사하구 다대로 225-0,쇼핑센터,5783
97,해운대수목원,부산 해운대구,동식물원,5749
98,청사포방파제,부산 해운대구,방파제,5717
99,그랜드조선부산,부산 해운대구 해운대해변로 292-0,호텔,5633
100,탑마트신평점,부산 사하구 하신중앙로 210-0,쇼핑기타,5611
