순위,관광지명,주소,분류,합산 검색 수
85,루센트골프랩,부산 수영구 남천동로108번길 38-0,골프장,913
86,디옴므호텔,부산 수영구 광안해변로278번길 42-0,호텔,909
87,동방마트동방오거리점,부산 수영구 수영로606번길 129-0,쇼핑기타,906
88,센텀비스타동원2차아파트상가,부산 수영구 무학로63번길 142-0,쇼핑기타,881
89,더엠호텔,부산 수영구 민락수변로7번길 20-0,모텔/여관,863
90,아쿠아리즘,부산 수영구 수영로408번길 10-0,쇼핑기타,854
91,자이마트,부산 수영구 광안해변로277번길 18-0,쇼핑기타,848
92,정선미한복갤러리,부산 수영구 좌수영로101번길 22-0,쇼핑기타,824
93,광안스테이호텔,부산 수영구 광안해변로307번길 18-0,호텔,819
94,웁스,부산 수영구 수영로 690-4,모텔/여관,809
95,다온채,부산 수영구 광안해변로307번길 15-0,숙박기타,786
96,브릿지호텔,부산 수영구 광안해변로 155-0,모텔/여관,778
97,해마수산,부산 수영구 광안해변로 364-12,농수축산물시장,762
98,엘레브,부산 수영구 수영로725번길 27-0,문화생활시설기타,756
99,와바모텔,부산 수영구 광안해변로279번길 30-0,모텔/여관,748
100,오세암,부산 수영구 망미번영로 12-0,절,744
