순위,관광지명,주소,분류,현지인 검색 수
85,펫마트남천점,부산 수영구 수영로 488-0,쇼핑기타,97
87,오션투헤븐호텔,부산 수영구 광안해변로278번길 42-0,호텔,92
88,오션더포인트호텔광안점,부산 수영구 광안해변로278번길 42-0,호텔,91
89,근창수산,부산 수영구 민락수변로7번길 35-0,농수축산물시장,90
90,그레이193호텔,부산 수영구 광안해변로278번길 42-0,모텔/여관,88
90,웁스,부산 수영구 수영로 690-4,모텔/여관,88
92,호암근린공원,부산 수영구,공원,87
93,호텔1,부산 수영구 광안해변로 203-0,호텔,86
93,민락선착장,부산 수영구 광안해변로 331-0,항구,86
95,호텔메종,부산 수영구 민락본동로11번길 59-0,호텔,84
96,프리미엄브이호텔,부산 수영구 남천바다로33번길 51-0,호텔,83
96,루센트골프랩,부산 수영구 남천동로108번길 38-0,골프장,83
98,백룡사,부산 수영구 망미배산로70번라길 20-0,절,79
99,인디고서원,부산 수영구 수영로408번길 28-0,쇼핑기타,73
100,민락씨랜드,부산 수영구 광안해변로 299-0,재래시장,72
