순위,관광지명,주소,분류,합산 검색 수
86,에이치에비뉴,부산 동래구 충렬대로92번길 21-0,호텔,968
87,투헤븐호텔,부산 동래구 충렬대로86번길 38-0,모텔/여관,901
88,보노호텔,부산 동래구 온천장로 35-1,모텔/여관,886
89,동래읍성지북문광장,부산 동래구,공원,878
90,세븐브릿지호텔,부산 동래구 충렬대로 245-6,모텔/여관,853
91,스파볼링장,부산 동래구 금강공원로 10-1,레저/스포츠기타,845
92,메가모텔,부산 동래구 명륜로112번가길 37-0,모텔/여관,825
93,자연드림동래사직점,부산 동래구 사직북로47번길 17-0,농수축산물시장,816
94,자연드림부산명륜점,부산 동래구 명륜로 222-0,쇼핑기타,811
95,망고키즈수영장사직점,부산 동래구 석사로18번길 41-0,수영장,758
96,골프존파크수안명품스크린점,부산 동래구 명륜로 52-0,골프장,756
97,하루호텔,부산 동래구 충렬대로86번길 9-0,모텔/여관,733
98,우리종합상사,부산 동래구 안락로 53-0,쇼핑기타,726
99,경동리인상가,부산 동래구 충렬대로446번길 67-0,쇼핑기타,723
100,골프존파크온천티박스스크린점,부산 동래구 금강공원로20번길 46-0,골프장,708
