순위,관광지명,주소,분류,현지인 검색 수
88,메가모텔,부산 동래구 명륜로112번가길 37-0,모텔/여관,166
88,천일온천호텔,부산 동래구 금강공원로26번길 42-0,호텔,166
90,AK골프부산본점,부산 동래구 충렬대로 311-0,쇼핑기타,162
91,369모텔,부산 동래구 명륜로94번길 43-17,모텔/여관,160
92,오호텔,부산 동래구 온천장로 35-9,모텔/여관,158
93,호텔아마레동래점,부산 동래구 명륜로112번가길 24-0,모텔/여관,153
94,SG골프모아골프,부산 동래구 중앙대로 1261-0,골프장,148
95,해성주류판매,부산 동래구 수안로8번길 25-0,쇼핑기타,147
96,우리종합상사,부산 동래구 안락로 53-0,쇼핑기타,145
97,세븐브릿지호텔,부산 동래구 충렬대로 245-6,모텔/여관,143
98,귀빈장여관,부산 동래구 명륜로92번길 20-6,모텔/여관,142
99,블루힐모텔,부산 동래구 충렬대로238번가길 6-0,모텔/여관,140
100,에이치에비뉴,부산 동래구 충렬대로92번길 21-0,호텔,138
